Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2017-18,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.06,1.34,Jubilee,jubilee
2017-18,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.36,2.15,Metropolitan,metropolitan
2017-18,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.44,Northern,northern
2017-18,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.18,3.52,Piccadilly,piccadilly
2017-18,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.35,1.24,Victoria,victoria
2017-18,13,London Underground Network,Excess Journey Time - Total,4.98,4.63,London Underground Network,london underground network
2018-19,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.44,1.44,Bakerloo,bakerloo
2018-19,1,Line Operations - Central Line,Excess Journey Time - Trains,2.41,2.41,Central,central
2018-19,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.46,3.46,Circle and Hammersmith,circle and hammersmith
2018-19,1,Line Operations - District Line,Excess Journey Time - Trains,2.9,2.9,District,district
2018-19,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.58,2.58,Jubilee,jubilee
2018-19,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.08,2.08,Metropolitan,metropolitan
2018-19,1,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.28,Northern,northern
2018-19,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.06,3.06,Piccadilly,piccadilly
2018-19,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.82,0.82,Victoria,victoria
2018-19,1,London Underground Network,Excess Journey Time - Total,4.37,4.37,London Underground Network,london underground network
2018-19,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.59,1.51,Bakerloo,bakerloo
2018-19,2,Line Operations - Central Line,Excess Journey Time - Trains,2.82,2.61,Central,central
2018-19,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.92,3.19,Circle and Hammersmith,circle and hammersmith
2018-19,2,Line Operations - District Line,Excess Journey Time - Trains,3.16,3.03,District,district
2018-19,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.04,1.81,Jubilee,jubilee
2018-19,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.73,1.9,Metropolitan,metropolitan
2018-19,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.3,1.29,Northern,northern
2018-19,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.92,2.99,Piccadilly,piccadilly
2018-19,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.02,0.92,Victoria,victoria
2018-19,2,London Underground Network,Excess Journey Time - Total,4.43,4.4,London Underground Network,london underground network
2018-19,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.91,1.64,Bakerloo,bakerloo
2018-19,3,Line Operations - Central Line,Excess Journey Time - Trains,3.31,2.85,Central,central
2018-19,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.51,2.96,Circle and Hammersmith,circle and hammersmith
2018-19,3,Line Operations - District Line,Excess Journey Time - Trains,2.38,2.81,District,district
2018-19,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.72,1.45,Jubilee,jubilee
2018-19,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.71,1.84,Metropolitan,metropolitan
2018-19,3,Line Operations - Northern Line,Excess Journey Time - Trains,0.85,1.14,Northern,northern
2018-19,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.15,3.04,Piccadilly,piccadilly
2018-19,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.43,1.09,Victoria,victoria
2018-19,3,London Underground Network,Excess Journey Time - Total,4.25,4.35,London Underground Network,london underground network
2018-19,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.64,1.64,Bakerloo,bakerloo
2018-19,4,Line Operations - Central Line,Excess Journey Time - Trains,3.61,3.04,Central,central
2018-19,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.69,3.14,Circle and Hammersmith,circle and hammersmith
2018-19,4,Line Operations - District Line,Excess Journey Time - Trains,3.59,3.01,District,district
2018-19,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.07,1.35,Jubilee,jubilee
2018-19,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.86,1.84,Metropolitan,metropolitan
2018-19,4,Line Operations - Northern Line,Excess Journey Time - Trains,0.87,1.08,Northern,northern
2018-19,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.64,3.19,Piccadilly,piccadilly
2018-19,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.09,1.09,Victoria,victoria
2018-19,4,London Underground Network,Excess Journey Time - Total,4.75,4.45,London Underground Network,london underground network
2018-19,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.39,1.59,Bakerloo,bakerloo
2018-19,5,Line Operations - Central Line,Excess Journey Time - Trains,2.54,2.94,Central,central
2018-19,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.11,3.14,Circle and Hammersmith,circle and hammersmith
2018-19,5,Line Operations - District Line,Excess Journey Time - Trains,3.06,3.02,District,district
2018-19,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.25,1.33,Jubilee,jubilee
2018-19,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.82,1.84,Metropolitan,metropolitan
2018-19,5,Line Operations - Northern Line,Excess Journey Time - Trains,0.69,1.0,Northern,northern
2018-19,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.97,3.15,Piccadilly,piccadilly
2018-19,5,Line Operations - Victoria Line,Excess Journey Time - Trains,0.84,1.04,Victoria,victoria
2018-19,5,London Underground Network,Excess Journey Time - Total,4.05,4.37,London Underground Network,london underground network
2018-19,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.21,1.53,Bakerloo,bakerloo
2018-19,6,Line Operations - Central Line,Excess Journey Time - Trains,1.93,2.77,Central,central
2018-19,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.18,2.98,Circle and Hammersmith,circle and hammersmith
2018-19,6,Line Operations - District Line,Excess Journey Time - Trains,2.48,2.93,District,district
2018-19,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.66,1.22,Jubilee,jubilee
2018-19,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.04,1.71,Metropolitan,metropolitan
2018-19,6,Line Operations - Northern Line,Excess Journey Time - Trains,0.59,0.93,Northern,northern
2018-19,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.82,2.92,Piccadilly,piccadilly
2018-19,6,Line Operations - Victoria Line,Excess Journey Time - Trains,0.85,1.01,Victoria,victoria
2018-19,6,London Underground Network,Excess Journey Time - Total,3.41,4.21,London Underground Network,london underground network
2018-19,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.04,1.6,Bakerloo,bakerloo
2018-19,7,Line Operations - Central Line,Excess Journey Time - Trains,2.85,2.78,Central,central
2018-19,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.52,3.05,Circle and Hammersmith,circle and hammersmith
2018-19,7,Line Operations - District Line,Excess Journey Time - Trains,3.94,3.07,District,district
2018-19,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.64,1.28,Jubilee,jubilee
2018-19,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.53,1.82,Metropolitan,metropolitan
2018-19,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.27,0.98,Northern,northern
2018-19,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.47,3.0,Piccadilly,piccadilly
2018-19,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.59,1.09,Victoria,victoria
2018-19,7,London Underground Network,Excess Journey Time - Total,5.03,4.33,London Underground Network,london underground network
2018-19,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.58,Bakerloo,bakerloo
2018-19,8,Line Operations - Central Line,Excess Journey Time - Trains,2.85,2.79,Central,central
2018-19,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.03,3.17,Circle and Hammersmith,circle and hammersmith
2018-19,8,Line Operations - District Line,Excess Journey Time - Trains,4.1,3.2,District,district
2018-19,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.4,1.42,Jubilee,jubilee
2018-19,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.35,2.02,Metropolitan,metropolitan
2018-19,8,Line Operations - Northern Line,Excess Journey Time - Trains,1.81,1.08,Northern,northern
2018-19,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.95,3.12,Piccadilly,piccadilly
2018-19,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.99,1.2,Victoria,victoria
2018-19,8,London Underground Network,Excess Journey Time - Total,5.52,4.48,London Underground Network,london underground network
2018-19,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.56,Bakerloo,bakerloo
2018-19,9,Line Operations - Central Line,Excess Journey Time - Trains,3.27,2.84,Central,central
2018-19,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.91,3.26,Circle and Hammersmith,circle and hammersmith
2018-19,9,Line Operations - District Line,Excess Journey Time - Trains,4.1,3.3,District,district
2018-19,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.78,1.46,Jubilee,jubilee
2018-19,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.53,2.18,Metropolitan,metropolitan
2018-19,9,Line Operations - Northern Line,Excess Journey Time - Trains,1.69,1.15,Northern,northern
2018-19,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,5.37,3.37,Piccadilly,piccadilly
2018-19,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.7,1.26,Victoria,victoria
2018-19,9,London Underground Network,Excess Journey Time - Total,5.66,4.61,London Underground Network,london underground network
2018-19,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.0,1.51,Bakerloo,bakerloo
2018-19,10,Line Operations - Central Line,Excess Journey Time - Trains,1.64,2.72,Central,central
2018-19,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,1.87,3.12,Circle and Hammersmith,circle and hammersmith
2018-19,10,Line Operations - District Line,Excess Journey Time - Trains,2.12,3.18,District,district
2018-19,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.02,1.42,Jubilee,jubilee
2018-19,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,0.56,2.02,Metropolitan,metropolitan
2018-19,10,Line Operations - Northern Line,Excess Journey Time - Trains,0.53,1.09,Northern,northern
2018-19,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.16,3.25,Piccadilly,piccadilly
2018-19,10,Line Operations - Victoria Line,Excess Journey Time - Trains,0.51,1.18,Victoria,victoria
2018-19,10,London Underground Network,Excess Journey Time - Total,3.03,4.45,London Underground Network,london underground network
2018-19,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.28,1.49,Bakerloo,bakerloo
2018-19,11,Line Operations - Central Line,Excess Journey Time - Trains,2.84,2.73,Central,central
2018-19,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.04,3.11,Circle and Hammersmith,circle and hammersmith
2018-19,11,Line Operations - District Line,Excess Journey Time - Trains,2.95,3.16,District,district
2018-19,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.15,1.39,Jubilee,jubilee
2018-19,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.68,1.99,Metropolitan,metropolitan
2018-19,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.57,1.13,Northern,northern
2018-19,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.89,3.22,Piccadilly,piccadilly
2018-19,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.18,1.18,Victoria,victoria
2018-19,11,London Underground Network,Excess Journey Time - Total,4.37,4.44,London Underground Network,london underground network
2018-19,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.79,1.51,Bakerloo,bakerloo
2018-19,12,Line Operations - Central Line,Excess Journey Time - Trains,2.7,2.73,Central,central
2018-19,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.39,3.13,Circle and Hammersmith,circle and hammersmith
2018-19,12,Line Operations - District Line,Excess Journey Time - Trains,3.83,3.22,District,district
2018-19,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.37,1.39,Jubilee,jubilee
2018-19,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.27,2.01,Metropolitan,metropolitan
2018-19,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.62,1.17,Northern,northern
2018-19,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.93,3.19,Piccadilly,piccadilly
2018-19,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.45,1.21,Victoria,victoria
2018-19,12,London Underground Network,Excess Journey Time - Total,4.69,4.46,London Underground Network,london underground network
2018-19,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.65,1.52,Bakerloo,bakerloo
2018-19,13,Line Operations - Central Line,Excess Journey Time - Trains,3.06,2.76,Central,central
2018-19,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.82,3.19,Circle and Hammersmith,circle and hammersmith
2018-19,13,Line Operations - District Line,Excess Journey Time - Trains,3.81,3.26,District,district
2018-19,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.69,1.41,Jubilee,jubilee
2018-19,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.78,2.0,Metropolitan,metropolitan
2018-19,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.65,1.21,Northern,northern
2018-19,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.81,3.16,Piccadilly,piccadilly
2018-19,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.18,1.2,Victoria,victoria
2018-19,13,London Underground Network,Excess Journey Time - Total,4.8,4.49,London Underground Network,london underground network
2019-20,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.28,1.28,Bakerloo,bakerloo
2019-20,1,Line Operations - Central Line,Excess Journey Time - Trains,2.68,2.68,Central,central
2019-20,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.61,2.61,Circle and Hammersmith,circle and hammersmith
2019-20,1,Line Operations - District Line,Excess Journey Time - Trains,3.32,3.32,District,district
2019-20,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.19,1.19,Jubilee,jubilee
2019-20,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,0.77,0.77,Metropolitan,metropolitan
2019-20,1,Line Operations - Northern Line,Excess Journey Time - Trains,0.97,0.97,Northern,northern
2019-20,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.77,2.77,Piccadilly,piccadilly
2019-20,1,Line Operations - Victoria Line,Excess Journey Time - Trains,1.22,1.22,Victoria,victoria
2019-20,1,London Underground Network,Excess Journey Time - Total,4.28,4.28,London Underground Network,london underground network
2019-20,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.6,1.44,Bakerloo,bakerloo
2019-20,2,Line Operations - Central Line,Excess Journey Time - Trains,2.5,2.59,Central,central
2019-20,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.39,3.0,Circle and Hammersmith,circle and hammersmith
2019-20,2,Line Operations - District Line,Excess Journey Time - Trains,3.54,3.43,District,district
2019-20,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.4,1.29,Jubilee,jubilee
2019-20,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.13,1.45,Metropolitan,metropolitan
2019-20,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.27,1.12,Northern,northern
2019-20,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.27,2.52,Piccadilly,piccadilly
2019-20,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.54,1.38,Victoria,victoria
2019-20,2,London Underground Network,Excess Journey Time - Total,4.48,4.38,London Underground Network,london underground network
2019-20,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.96,1.61,Bakerloo,bakerloo
2019-20,3,Line Operations - Central Line,Excess Journey Time - Trains,2.67,2.62,Central,central
2019-20,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.4,3.47,Circle and Hammersmith,circle and hammersmith
2019-20,3,Line Operations - District Line,Excess Journey Time - Trains,3.63,3.49,District,district
2019-20,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.7,1.43,Jubilee,jubilee
2019-20,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.18,1.69,Metropolitan,metropolitan
2019-20,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.1,1.11,Northern,northern
2019-20,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.76,2.6,Piccadilly,piccadilly
2019-20,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.4,1.39,Victoria,victoria
2019-20,3,London Underground Network,Excess Journey Time - Total,4.66,4.47,London Underground Network,london underground network
2019-20,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.58,1.85,Bakerloo,bakerloo
2019-20,4,Line Operations - Central Line,Excess Journey Time - Trains,3.37,2.81,Central,central
2019-20,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.53,3.48,Circle and Hammersmith,circle and hammersmith
2019-20,4,Line Operations - District Line,Excess Journey Time - Trains,4.03,3.63,District,district
2019-20,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.3,1.4,Jubilee,jubilee
2019-20,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.16,1.81,Metropolitan,metropolitan
2019-20,4,Line Operations - Northern Line,Excess Journey Time - Trains,3.03,1.59,Northern,northern
2019-20,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.76,2.89,Piccadilly,piccadilly
2019-20,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.43,1.4,Victoria,victoria
2019-20,4,London Underground Network,Excess Journey Time - Total,5.57,4.75,London Underground Network,london underground network
2019-20,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.12,1.91,Bakerloo,bakerloo
2019-20,5,Line Operations - Central Line,Excess Journey Time - Trains,2.8,2.8,Central,central
2019-20,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.98,3.38,Circle and Hammersmith,circle and hammersmith
2019-20,5,Line Operations - District Line,Excess Journey Time - Trains,3.07,3.52,District,district
2019-20,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.88,1.49,Jubilee,jubilee
2019-20,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.87,1.82,Metropolitan,metropolitan
2019-20,5,Line Operations - Northern Line,Excess Journey Time - Trains,1.42,1.56,Northern,northern
2019-20,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.1,2.94,Piccadilly,piccadilly
2019-20,5,Line Operations - Victoria Line,Excess Journey Time - Trains,1.21,1.36,Victoria,victoria
2019-20,5,London Underground Network,Excess Journey Time - Total,4.64,4.72,London Underground Network,london underground network
2019-20,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.14,1.95,Bakerloo,bakerloo
2019-20,6,Line Operations - Central Line,Excess Journey Time - Trains,3.21,2.87,Central,central
2019-20,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.12,3.34,Circle and Hammersmith,circle and hammersmith
2019-20,6,Line Operations - District Line,Excess Journey Time - Trains,2.93,3.42,District,district
2019-20,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.05,1.42,Jubilee,jubilee
2019-20,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.65,1.96,Metropolitan,metropolitan
2019-20,6,Line Operations - Northern Line,Excess Journey Time - Trains,1.68,1.58,Northern,northern
2019-20,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.28,2.83,Piccadilly,piccadilly
2019-20,6,Line Operations - Victoria Line,Excess Journey Time - Trains,1.19,1.33,Victoria,victoria
2019-20,6,London Underground Network,Excess Journey Time - Total,4.37,4.66,London Underground Network,london underground network
2019-20,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.29,2.0,Bakerloo,bakerloo
2019-20,7,Line Operations - Central Line,Excess Journey Time - Trains,3.43,2.95,Central,central
2019-20,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.21,3.6,Circle and Hammersmith,circle and hammersmith
2019-20,7,Line Operations - District Line,Excess Journey Time - Trains,4.24,3.54,District,district
2019-20,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.8,1.47,Jubilee,jubilee
2019-20,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,4.71,2.35,Metropolitan,metropolitan
2019-20,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.97,1.63,Northern,northern
2019-20,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.0,2.85,Piccadilly,piccadilly
2019-20,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.98,1.43,Victoria,victoria
2019-20,7,London Underground Network,Excess Journey Time - Total,5.66,4.81,London Underground Network,london underground network
2019-20,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.8,2.1,Bakerloo,bakerloo
2019-20,8,Line Operations - Central Line,Excess Journey Time - Trains,3.73,3.05,Central,central
2019-20,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.24,3.68,Circle and Hammersmith,circle and hammersmith
2019-20,8,Line Operations - District Line,Excess Journey Time - Trains,3.59,3.54,District,district
2019-20,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,3.03,1.67,Jubilee,jubilee
2019-20,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.51,2.5,Metropolitan,metropolitan
2019-20,8,Line Operations - Northern Line,Excess Journey Time - Trains,2.36,1.72,Northern,northern
2019-20,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.98,2.74,Piccadilly,piccadilly
2019-20,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.58,1.45,Victoria,victoria
2019-20,8,London Underground Network,Excess Journey Time - Total,5.56,4.9,London Underground Network,london underground network
2019-20,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,3.09,2.21,Bakerloo,bakerloo
2019-20,9,Line Operations - Central Line,Excess Journey Time - Trains,4.32,3.19,Central,central
2019-20,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.29,3.86,Circle and Hammersmith,circle and hammersmith
2019-20,9,Line Operations - District Line,Excess Journey Time - Trains,4.47,3.65,District,district
2019-20,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,3.17,1.83,Jubilee,jubilee
2019-20,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.83,2.64,Metropolitan,metropolitan
2019-20,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.3,1.79,Northern,northern
2019-20,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.32,2.8,Piccadilly,piccadilly
2019-20,9,Line Operations - Victoria Line,Excess Journey Time - Trains,2.33,1.54,Victoria,victoria
2019-20,9,London Underground Network,Excess Journey Time - Total,6.48,5.08,London Underground Network,london underground network
2019-20,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.48,2.23,Bakerloo,bakerloo
2019-20,10,Line Operations - Central Line,Excess Journey Time - Trains,2.43,3.11,Central,central
2019-20,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.71,3.75,Circle and Hammersmith,circle and hammersmith
2019-20,10,Line Operations - District Line,Excess Journey Time - Trains,2.4,3.52,District,district
2019-20,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.22,1.77,Jubilee,jubilee
2019-20,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.98,2.58,Metropolitan,metropolitan
2019-20,10,Line Operations - Northern Line,Excess Journey Time - Trains,1.21,1.73,Northern,northern
2019-20,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.51,2.68,Piccadilly,piccadilly
2019-20,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.06,1.5,Victoria,victoria
2019-20,10,London Underground Network,Excess Journey Time - Total,3.87,4.96,London Underground Network,london underground network
2019-20,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.56,2.26,Bakerloo,bakerloo
2019-20,11,Line Operations - Central Line,Excess Journey Time - Trains,3.04,3.11,Central,central
2019-20,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.73,Circle and Hammersmith,circle and hammersmith
2019-20,11,Line Operations - District Line,Excess Journey Time - Trains,3.05,3.48,District,district
2019-20,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.79,1.78,Jubilee,jubilee
2019-20,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.08,2.62,Metropolitan,metropolitan
2019-20,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.52,1.71,Northern,northern
2019-20,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.63,2.67,Piccadilly,piccadilly
2019-20,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.47,1.49,Victoria,victoria
2019-20,11,London Underground Network,Excess Journey Time - Total,4.78,4.94,London Underground Network,london underground network
2019-20,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.99,2.24,Bakerloo,bakerloo
2019-20,12,Line Operations - Central Line,Excess Journey Time - Trains,3.03,3.1,Central,central
2019-20,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.72,Circle and Hammersmith,circle and hammersmith
2019-20,12,Line Operations - District Line,Excess Journey Time - Trains,3.46,3.48,District,district
2019-20,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.81,1.78,Jubilee,jubilee
2019-20,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.1,2.66,Metropolitan,metropolitan
2019-20,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.45,1.69,Northern,northern
2019-20,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.15,2.71,Piccadilly,piccadilly
2019-20,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.53,1.5,Victoria,victoria
2019-20,12,London Underground Network,Excess Journey Time - Total,5.08,4.95,London Underground Network,london underground network
