station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display,station,degree_centrality,betweenness_centrality,closeness_centrality,betweenness_norm,degree_norm,closeness_norm,propagation_risk_score
baker street,1,271,17.167910345770125,0.0,0,0.0,1.0,0.3,Baker Street,baker street,0.025830258302583,0.3543809046556072,0.114394259181089,1.0,1.0,0.9509065016094019,0.7899999999999999
green park,1,271,14.429684296842968,0.0,0,0.0,0.2911258533189617,0.0873377559956885,Green Park,green park,0.022140221402214,0.3418789576784653,0.1181857828172699,0.9647217250904322,0.8333333333333334,1.0,0.6752288560105894
earls court,3,262,14.67310110847884,1.0,9,0.4090909090909091,0.3541417919423648,0.6289698103099821,Earls Court,earls court,0.022140221402214,0.2059716988704278,0.0929036681522111,0.5812155682332666,0.8333333333333334,0.6726415091347823,0.6459653938762946
kings cross st. pancras,2,254,14.12785160748187,0.5,17,0.7727272727272727,0.2129871656108664,0.4957143315014417,Kings Cross St. Pancras,kings cross st. pancras,0.025830258302583,0.1955828891622253,0.1061080657791699,0.5519001915531982,1.0,0.8436150110436046,0.6246643952270317
waterloo,1,271,14.54082274156075,0.0,0,0.0,0.3198974626583887,0.0959692387975166,Waterloo,waterloo,0.022140221402214,0.282363901416792,0.1087916499397832,0.7967808019768944,0.8333333333333334,0.87836266061986,0.5938478392943689
liverpool street,1,271,14.966406997403308,0.0,0,0.0,0.4300730547427162,0.1290219164228148,Liverpool Street,liverpool street,0.018450184501845,0.2724235797913536,0.1002589715131335,0.7687309790466815,0.6666666666666667,0.7678796266730732,0.5564053977835186
stratford,2,251,13.407043824701196,0.5,20,0.9090909090909092,0.0263838710655172,0.4806424340469278,Stratford,stratford,0.011070110701107,0.2221989886565535,0.0827228327228327,0.6270060991928724,0.3333333333333333,0.5408177686739206,0.5243624464771812
wembley park,2,267,15.541015459998311,0.5,4,0.1818181818181818,0.578828152502935,0.4281939002963351,Wembley Park,wembley park,0.018450184501845,0.1821017374194905,0.0982596084118926,0.5138587746325096,0.6666666666666667,0.7419914248282178,0.5187208907384887
bank,1,271,14.496077627442942,0.0,0,0.0,0.3083138117757912,0.0924941435327373,Bank,bank,0.018450184501845,0.2527556831123866,0.1052836052836052,0.7132316662434689,0.6666666666666667,0.8329397116399887,0.517697409514889
camden town,3,251,13.66782470119522,1.0,20,0.9090909090909092,0.0938950326687977,0.7008957825279121,Camden Town,camden town,0.014760147601476,0.1399207325406587,0.0953553835327234,0.39483146722207235,0.5,0.7043868697435911,0.5076844683694098
euston,2,249,13.731020857624044,0.5,22,1.0,0.1102553041224846,0.5330765912367453,Euston,euston,0.014760147601476,0.1753983873172064,0.1037122081898201,0.4949431106838593,0.5,0.8125929096423529,0.5073945327129532
finchley road,1,271,16.40489271559382,0.0,0,0.0,0.8024693864461137,0.2407408159338341,Finchley Road,finchley road,0.018450184501845,0.2089433391688414,0.105859375,0.5896010096026357,0.6666666666666667,0.8403949070594364,0.5003560829148015
westminster,1,271,14.378297116304497,0.0,0,0.0,0.2778226989760887,0.0833468096928266,Westminster,westminster,0.014760147601476,0.2584554234431233,0.1126350789692435,0.7293153215867945,0.5,0.9281282416837955,0.4896617037012452
bond street,1,271,14.263468634686348,0.0,0,0.0,0.2480958099365088,0.0744287429809526,Bond Street,bond street,0.014760147601476,0.2433950725750643,0.1160102739726027,0.6868176850883074,0.5,0.9718310235639251,0.46573746543843947
mile end,1,271,14.792401257345906,0.0,0,0.0,0.3850263097710507,0.1155078929313152,Mile End,mile end,0.014760147601476,0.2330959865154209,0.0879584550470626,0.6577554926159105,0.5,0.6086097807546536,0.46353011418734985
paddington,2,258,13.844689771664706,0.5,13,0.5909090909090909,0.1396820033814099,0.4191773282871503,Paddington,paddington,0.014760147601476,0.161826340485627,0.1036328871892925,0.45664520395897834,0.5,0.8115658435376919,0.4540758004656342
edgware road (circle line),2,262,14.11099412125998,0.5,9,0.4090909090909091,0.2086230861129699,0.3853141985611637,Edgware Road (Circle Line),edgware road (circle line),0.011070110701107,0.1884401621793996,0.1090104585679807,0.5317446840498605,0.3333333333333333,0.8811958438113758,0.44813326825994604
turnham green,2,268,14.371569120688692,0.5,3,0.1363636363636363,0.2760809500971398,0.3237333759382328,Turnham Green,turnham green,0.018450184501845,0.1303122756095286,0.079031787693205,0.36771810754354295,0.6666666666666667,0.4930252898159549,0.41431239988657464
finsbury park,3,259,13.870521684475174,1.0,12,0.5454545454545454,0.1463693896028044,0.6075471805172049,Finsbury Park,finsbury park,0.014760147601476,0.0893535602022686,0.0892034233048058,0.2521398840298796,0.5,0.62472990897293,0.4083340961701013
harrow-on-the-hill,2,259,14.137948579809043,0.5,12,0.5454545454545454,0.215601077871796,0.4283166869979025,Harrow-On-The-Hill,harrow-on-the-hill,0.011070110701107,0.1501624180262966,0.0822957789249924,0.4237316854649004,0.3333333333333333,0.5352881803213897,0.4070275154984876
oxford circus,1,271,14.147710810441438,0.0,0,0.0,0.2181283319354088,0.0654384995806226,Oxford Circus,oxford circus,0.022140221402214,0.1443966106327731,0.1144425675675675,0.4074616005992195,0.8333333333333334,0.9515320094319573,0.3900290168404632
bethnal green,1,271,14.433374333743338,0.0,0,0.0,0.292081133019115,0.0876243399057345,Bethnal Green,bethnal green,0.007380073800738,0.233617147282584,0.0936743864500518,0.6592261157796206,0.16666666666666669,0.6826209425091603,0.389233693194864
stockwell,3,261,13.86657824933687,1.0,10,0.4545454545454545,0.1453485099644151,0.5799681893529609,Stockwell,stockwell,0.014760147601476,0.0749578606897179,0.0916779431664411,0.2115177756616517,0.5,0.6567705471178268,0.3797493446367141
leytonstone,2,253,13.30692013300709,0.5,18,0.8181818181818182,0.0004637697867994,0.4455936763905853,Leytonstone,leytonstone,0.011070110701107,0.1254475878092114,0.0724211651523249,0.3539908221949015,0.3333333333333333,0.407429466549916,0.377340180681293
acton town,2,260,13.632877932877934,0.5,11,0.5,0.0848479853733849,0.3754543956120154,Acton Town,acton town,0.014760147601476,0.1138847780012191,0.0754454342984409,0.32136262565245743,0.5,0.44658838172606763,0.3733176315098333
leyton,2,252,13.305128691582874,0.5,19,0.8636363636363636,0.0,0.4590909090909091,Leyton,leyton,0.007380073800738,0.1308733087330873,0.0772519954389965,0.3693012434184963,0.16666666666666669,0.4699801405430373,0.3557112277698542
west ham,2,259,13.468917422405797,0.5,12,0.5454545454545454,0.0424017574602939,0.3763568908744518,West Ham,west ham,0.014760147601476,0.0918199626440708,0.0772299800512966,0.2590996338623348,0.5,0.46969508036556673,0.34245688419350295
victoria,1,271,14.137242039087058,0.0,0,0.0,0.2154181680453446,0.0646254504136033,Victoria,victoria,0.014760147601476,0.1500793759260344,0.1111566858080393,0.4234973554003533,0.5,0.9089856754638055,0.33113631282425765
notting hill gate,1,271,14.56487631542982,0.0,0,0.0,0.3261244710742016,0.0978373413222604,Notting Hill Gate,notting hill gate,0.014760147601476,0.1399526217484397,0.0974119338605319,0.39492145290516656,0.5,0.7310155446237901,0.32681192884926136
south kensington,1,271,14.26560065600656,0.0,0,0.0,0.2486477493188194,0.0745943247956458,South Kensington,south kensington,0.011070110701107,0.1533955064418369,0.0998158379373849,0.43285488700614105,0.3333333333333333,0.7621418337498707,0.3054724076084309
gloucester road,1,271,14.263031296979635,0.0,0,0.0,0.2479825916016758,0.0743947774805027,Gloucester Road,gloucester road,0.011070110701107,0.1505528113482192,0.096201632942847,0.4248333061131743,0.3333333333333333,0.7153442968996554,0.3014017529674047
barons court,1,271,14.629984966516332,0.0,0,0.0,0.3429798506724592,0.1028939552017377,Barons Court,barons court,0.011070110701107,0.1403710428638677,0.0872785829307568,0.39610216301096257,0.3333333333333333,0.5998066441134453,0.29558593473266925
moor park,3,264,13.646301417213964,1.0,7,0.3181818181818182,0.0883230677201904,0.5219514657706026,Moor Park,moor park,0.011070110701107,0.0507858411917452,0.0595211948166044,0.14330862787626683,0.3333333333333333,0.24039775748390868,0.29490642033598086
hammersmith (distandpicc line),1,271,14.58537652043187,0.0,0,0.0,0.3314315805194965,0.0994294741558489,Hammersmith (Distandpicc Line),hammersmith (distandpicc line),0.011070110701107,0.1365443379301518,0.0827986556675832,0.38530388103966184,0.3333333333333333,0.5417995411678482,0.2891474494332522
preston road,1,271,15.416618832854995,0.0,0,0.0,0.546624254307325,0.1639872762921974,Preston Road,preston road,0.007380073800738,0.1444633610357267,0.0916779431664411,0.4076499583862128,0.16666666666666669,0.6567705471178268,0.28635449541409896
rayners lane,2,265,14.000485991995426,0.5,6,0.2727272727272727,0.180014653341533,0.3358225778206417,Rayners Lane,rayners lane,0.011070110701107,0.0791975417108668,0.0744914788345244,0.22348140283639775,0.3333333333333333,0.4342363524295653,0.27915414143105804
northwick park,1,271,15.34492278256116,0.0,0,0.0,0.5280635235406461,0.1584190570621938,Northwick Park,northwick park,0.007380073800738,0.1396526462619123,0.0864433811802232,0.39407497533657715,0.16666666666666669,0.588992264531482,0.2778965381202801
warwick avenue,2,259,13.703720331627308,0.5,12,0.5454545454545454,0.1031877221463864,0.3945926802802796,Warwick Avenue,warwick avenue,0.007380073800738,0.0849528495284952,0.094722125131073,0.23972185976288335,0.16666666666666669,0.696187297934098,0.2715720672988589
finchley central,3,266,13.774237480493689,1.0,5,0.2272727272727272,0.1214432579698879,0.5046147955727845,Finchley Central,finchley central,0.011070110701107,0.0364630312969796,0.0619853613906678,0.10289220106939717,0.3333333333333333,0.2723043389393263,0.2694972058732006
kennington,2,269,14.105282139488432,0.5,2,0.0909090909090909,0.2071443637095543,0.2894160363855936,Kennington,kennington,0.014760147601476,0.051670766707667,0.0994130594277329,0.14580573058213012,0.5,0.7569265672731765,0.25972767620674314
maida vale,2,260,13.68096228096228,0.5,11,0.5,0.0972960998124247,0.3791888299437274,Maida Vale,maida vale,0.007380073800738,0.078174115074484,0.0871662914120296,0.22059347455657866,0.16666666666666669,0.5983526683446263,0.2573867195947409
north harrow,2,260,13.60947430947431,0.5,11,0.5,0.0787892366532095,0.3736367709959628,North Harrow,north harrow,0.007380073800738,0.078174115074484,0.0765320530923468,0.22059347455657866,0.16666666666666669,0.4606581655725286,0.25572110191041153
plaistow,2,260,13.45001485001485,0.5,11,0.5,0.0375082444214572,0.3612524733264372,Plaistow,plaistow,0.007380073800738,0.078174115074484,0.072132020228906,0.22059347455657866,0.16666666666666669,0.4036855532331013,0.2520058126095538
north acton,2,264,13.76788800553059,0.5,7,0.3181818181818182,0.1197995008198523,0.3313943957005011,North Acton,north acton,0.011070110701107,0.06074438522163,0.071959638874137,0.1714098711968195,0.3333333333333333,0.4014535207904802,0.25178992097522673
warren street,1,271,14.116550498838322,0.0,0,0.0,0.21006152557856,0.063018457673568,Warren Street,warren street,0.011070110701107,0.1153100086556419,0.1066089693154996,0.3253843735392626,0.3333333333333333,0.8501008223728508,0.24826439073836837
kentish town,2,261,13.782434423813736,0.5,10,0.4545454545454545,0.1235652892038206,0.3734332231247825,Kentish Town,kentish town,0.007380073800738,0.071340713407134,0.0876455368693402,0.2013108281792553,0.16666666666666669,0.6045580460093368,0.24601871436039574
woodford,2,266,13.813448716129948,0.5,5,0.2272727272727272,0.1315942939710441,0.3076601063731314,Woodford,woodford,0.011070110701107,0.0610496104961049,0.060410164957646,0.17227116273500642,0.3333333333333333,0.2519083422451514,0.24510027994610928
kilburn park,2,261,13.665811965811963,0.5,10,0.4545454545454545,0.0933739741251257,0.3643758286011741,Kilburn Park,kilburn park,0.007380073800738,0.071340713407134,0.0806787734444775,0.2013108281792553,0.16666666666666669,0.5143508307034909,0.24330149600331324
pinner,2,261,13.607928087238433,0.5,10,0.4545454545454545,0.0783889494057538,0.3598803211853625,Pinner,pinner,0.007380073800738,0.071340713407134,0.0714850962806647,0.2013108281792553,0.16666666666666669,0.39530903686148916,0.24195284377856974
south ealing,2,261,13.524432655467136,0.5,10,0.4545454545454545,0.0567735853375346,0.3533957119648968,South Ealing,south ealing,0.007380073800738,0.071340713407134,0.0705361790733992,0.2013108281792553,0.16666666666666669,0.3830222440420662,0.24000746101243003
moorgate,1,271,14.152357523575237,0.0,0,0.0,0.2193312767430087,0.0657993830229026,Moorgate,moorgate,0.014760147601476,0.0848457929023734,0.100333209922251,0.23941976496963868,0.5,0.768840882244251,0.23944969739169011
upton park,2,261,13.455732390215148,0.5,10,0.4545454545454545,0.0389884057953469,0.3480601581022404,Upton Park,upton park,0.007380073800738,0.071340713407134,0.0676316446219116,0.2013108281792553,0.16666666666666669,0.34541368054563126,0.23840679485363309
tufnell park,2,262,13.766166535053085,0.5,9,0.4090909090909091,0.1193538451676257,0.3585334262775604,Tufnell Park,tufnell park,0.007380073800738,0.0644526445264452,0.0810406698564593,0.18187392063091343,0.16666666666666669,0.519036746610661,0.23183032153205818
queens park,2,262,13.658126407534146,0.5,9,0.4090909090909091,0.0913843306593896,0.3501425719250896,Queens Park,queens park,0.007380073800738,0.0644526445264452,0.0750484630296316,0.18187392063091343,0.16666666666666669,0.4414483087062318,0.22931306522631692
northwood hills,2,262,13.613641016641806,0.5,9,0.4090909090909091,0.0798679171328527,0.3466876478671286,Northwood Hills,northwood hills,0.007380073800738,0.0644526445264452,0.0670294335889191,0.18187392063091343,0.16666666666666669,0.33761611702871286,0.22827658800892864
chalfont and latimer,3,269,13.81648449203795,1.0,2,0.0909090909090909,0.1323801980629082,0.4669867866915997,Chalfont And Latimer,chalfont and latimer,0.011070110701107,0.0147328139948066,0.0507015902712815,0.04157338558950905,0.3333333333333333,0.1261995398017801,0.2275493954689011
northfields,2,262,13.53201134801556,0.5,9,0.4090909090909091,0.0587355633178865,0.3403479417226387,Northfields,northfields,0.007380073800738,0.0644526445264452,0.0661944308744504,0.18187392063091343,0.16666666666666669,0.3268043146103571,0.22637467616558166
east ham,2,262,13.468602848702876,0.5,9,0.4090909090909091,0.042320320368819,0.3354233688379184,East Ham,east ham,0.007380073800738,0.0644526445264452,0.0636299600845268,0.18187392063091343,0.16666666666666669,0.2935989716721116,0.22489730430016558
paddington (handc line)-underground,2,263,13.95164426900415,0.5,8,0.3636363636363636,0.1673704690816407,0.3593020498154012,Paddington (Handc Line)-Underground,paddington (handc line)-underground,0.007380073800738,0.0575099084324176,0.0989051094890511,0.16228275191155295,0.16666666666666669,0.7503495175459334,0.2222653242337302
chalk farm,2,263,13.858648013235422,0.5,8,0.3636363636363636,0.1432955241082636,0.3520795663233882,Chalk Farm,chalk farm,0.007380073800738,0.0575099084324176,0.087532299741602,0.16228275191155295,0.16666666666666669,0.6030918262829656,0.22009857918612627
clapham north,2,263,13.828868313354423,0.5,8,0.3636363636363636,0.135586131616789,0.3497667485759458,Clapham North,clapham north,0.007380073800738,0.0575099084324176,0.084423676012461,0.16228275191155295,0.16666666666666669,0.5628406690470629,0.21940473386189355
archway,2,263,13.757350593562244,0.5,8,0.3636363636363636,0.1170715671928184,0.3442123792487546,Archway,archway,0.007380073800738,0.0575099084324176,0.075319622012229,0.16228275191155295,0.16666666666666669,0.4449593360274674,0.2177384230637362
kensal green,2,263,13.657765651757469,0.5,8,0.3636363636363636,0.0912909379157723,0.3364781904656407,Kensal Green,kensal green,0.007380073800738,0.0575099084324176,0.0701164294954721,0.16228275191155295,0.16666666666666669,0.37758723236713576,0.21541816642880202
northwood,2,263,13.626476649348389,0.5,8,0.3636363636363636,0.083190815980285,0.3340481538849946,Northwood,northwood,0.007380073800738,0.0575099084324176,0.0630672562252734,0.16228275191155295,0.16666666666666669,0.2863129559012944,0.2146891554546082
boston manor,2,263,13.546686790700374,0.5,8,0.3636363636363636,0.0625347536420161,0.3278513351835139,Boston Manor,boston manor,0.007380073800738,0.0575099084324176,0.062327506899724,0.16228275191155295,0.16666666666666669,0.2767345157257542,0.21283010984416398
barking,2,263,13.488491568223376,0.5,8,0.3636363636363636,0.0474691279642322,0.3233316474801787,Barking,barking,0.007380073800738,0.0575099084324176,0.0600487480611566,0.16228275191155295,0.16666666666666669,0.24722863521212085,0.21147420353316343
royal oak,2,264,13.923839151976036,0.5,7,0.3181818181818182,0.1601722581763012,0.3435062229074358,Royal Oak,royal oak,0.007380073800738,0.0505125051250512,0.0904539385847797,0.1425373220211739,0.16666666666666669,0.6409218612791157,0.20765386121615104
west brompton,2,264,13.88305104274686,0.5,7,0.3181818181818182,0.1496129998798971,0.3403384454185146,West Brompton,west brompton,0.007380073800738,0.0505125051250512,0.0854081311062086,0.1425373220211739,0.16666666666666669,0.5755876143909658,0.20670352796947467
manor house,2,264,13.85516764604217,0.5,7,0.3181818181818182,0.142394523869361,0.3381729026153537,Manor House,manor house,0.007380073800738,0.0505125051250512,0.0822707953855494,0.1425373220211739,0.16666666666666669,0.5349646878494632,0.20605386512852641
belsize park,2,264,13.841802050927528,0.5,7,0.3181818181818182,0.1389344279304265,0.3371348738336734,Belsize Park,belsize park,0.007380073800738,0.0505125051250512,0.0808472553699284,0.1425373220211739,0.16666666666666669,0.5165323724607512,0.20574245649402229
clapham common,2,264,13.815531743288398,0.5,7,0.3181818181818182,0.132133549705624,0.3350946103662326,Clapham Common,clapham common,0.007380073800738,0.0505125051250512,0.0781881130986728,0.1425373220211739,0.16666666666666669,0.48210120194963857,0.20513037745379006
highgate,2,264,13.755847447862656,0.5,7,0.3181818181818182,0.1166824316334845,0.3304592749445908,Highgate,highgate,0.007380073800738,0.0505125051250512,0.070316554229372,0.1425373220211739,0.16666666666666669,0.38017849230492945,0.20373977682729755
willesden junction,2,264,13.664592695010946,0.5,7,0.3181818181818182,0.0930583283262756,0.3233720439524281,Willesden Junction,willesden junction,0.007380073800738,0.0505125051250512,0.0657607376850279,0.1425373220211739,0.16666666666666669,0.3211887579265608,0.2016136075296487
osterley,2,264,13.568325843991245,0.5,7,0.3181818181818182,0.0681366890419662,0.3158955521671353,Osterley,osterley,0.007380073800738,0.0505125051250512,0.0588618592528236,0.1425373220211739,0.16666666666666669,0.2318605327306584,0.19937065999406087
upney,2,264,13.515266735799056,0.5,7,0.3181818181818182,0.0544007047326612,0.3117747568743438,Upney,upney,0.007380073800738,0.0505125051250512,0.0568253302579157,0.1425373220211739,0.16666666666666669,0.2054910985591693,0.19813442140622342
sloane square,1,271,14.03463167965013,0.0,0,0.0,0.1888543162351603,0.0566562948705481,Sloane Square,sloane square,0.007380073800738,0.1014938900711757,0.1045121480910142,0.286397739657584,0.16666666666666669,0.8229507108906671,0.1935290916232898
westbourne park,2,265,13.90360205831904,0.5,6,0.2727272727272727,0.1549332632061718,0.3282981607800334,Westbourne Park,westbourne park,0.007380073800738,0.043460434604346,0.0832821143208358,0.12263763095977624,0.16666666666666669,0.5480594722385365,0.19314159704723147
fulham broadway,2,265,13.86818181818182,0.5,6,0.2727272727272727,0.1457636431478325,0.3255472747625315,Fulham Broadway,fulham broadway,0.007380073800738,0.043460434604346,0.0789857184494316,0.12263763095977624,0.16666666666666669,0.49242877491533205,0.1923163312419809
turnpike lane,2,265,13.84396798170383,0.5,6,0.2727272727272727,0.1394951458198148,0.3236667255641262,Turnpike Lane,turnpike lane,0.007380073800738,0.043460434604346,0.076295045045045,0.12263763095977624,0.16666666666666669,0.45758933222074977,0.1917521664824593
hampstead,2,265,13.83236134934248,0.5,6,0.2727272727272727,0.1364904115634097,0.3227653052872047,Hampstead,hampstead,0.007380073800738,0.043460434604346,0.0750692520775623,0.12263763095977624,0.16666666666666669,0.44171748996133176,0.19148174039938287
clapham south,2,265,13.809548313321898,0.5,6,0.2727272727272727,0.1305845545766826,0.3209935481911866,Clapham South,clapham south,0.007380073800738,0.043460434604346,0.0727712137486573,0.12263763095977624,0.16666666666666669,0.41196197428287223,0.19095021327057743
east finchley,2,265,13.76152086906804,0.5,6,0.2727272727272727,0.1181511714467311,0.3172635332522011,East Finchley,east finchley,0.007380073800738,0.043460434604346,0.0659046692607003,0.12263763095977624,0.16666666666666669,0.3230524162488248,0.18983120878888177
hanger lane,2,265,13.749514008004574,0.5,6,0.2727272727272727,0.115042825664243,0.3163310295174547,Hanger Lane,hanger lane,0.007380073800738,0.043460434604346,0.0673459244532803,0.12263763095977624,0.16666666666666669,0.34171411172189825,0.18955145766845785
harlesden,2,265,13.678473413379074,0.5,6,0.2727272727272727,0.0966517797845223,0.3108137157535385,Harlesden,harlesden,0.007380073800738,0.043460434604346,0.0618862754053436,0.12263763095977624,0.16666666666666669,0.2710213513786991,0.18789626353928301
high street kensington,1,271,14.136039360393603,0.0,0,0.0,0.2151068176245537,0.0645320452873661,High Street Kensington,high street kensington,0.011070110701107,0.0713543802104687,0.0947883875480937,0.20134939347201,0.3333333333333333,0.6970452785707791,0.1867009769888815
highbury and islington,1,271,14.170671040043734,0.0,0,0.0,0.2240722945141393,0.0672216883542417,Highbury And Islington,highbury and islington,0.007380073800738,0.0942736094027607,0.0969241773962804,0.2660233894215526,0.16666666666666669,0.7246999645323906,0.18651153455038216
hounslow east,2,265,13.596798170383076,0.5,6,0.2727272727272727,0.0755076276403126,0.3044704701102756,Hounslow East,hounslow east,0.007380073800738,0.043460434604346,0.055738379267791,0.12263763095977624,0.16666666666666669,0.19141701336156353,0.18599328984630414
